0 <= x < 18870; y = 37.209311 + 0.012462x; least-squares 
9930 <= x < 9960; 	 y_331 =  -2905.0000 + 0.3000x		interpolation 
9960 <= x < 9990; 	 y_332 =  4067.0000 + -0.4000x		interpolation 
9990 <= x < 10020; 	 y_333 =  -5257.0000 + 0.5333x		interpolation 
10020 <= x < 10050; 	 y_334 =  5097.0000 + -0.5000x		interpolation 
10050 <= x < 10080; 	 y_335 =  742.0000 + -0.0667x		interpolation 
10080 <= x < 10110; 	 y_336 =  -3290.0000 + 0.3333x		interpolation 
10110 <= x < 10140; 	 y_337 =  -1942.0000 + 0.2000x		interpolation 
10140 <= x < 10170; 	 y_338 =  3466.0000 + -0.3333x		interpolation 
10170 <= x < 10200; 	 y_339 =  -3992.0000 + 0.4000x		interpolation 
10200 <= x < 10230; 	 y_340 =  2808.0000 + -0.2667x		interpolation 
10230 <= x < 10260; 	 y_341 =  -3330.0000 + 0.3333x		interpolation 
10260 <= x < 10290; 	 y_342 =  4536.0000 + -0.4333x		interpolation 
10290 <= x < 10320; 	 y_343 =  -3696.0000 + 0.3667x		interpolation 
10320 <= x < 10350; 	 y_344 =  2840.0000 + -0.2667x		interpolation 
10350 <= x < 10380; 	 y_345 =  3530.0000 + -0.3333x		interpolation 
10380 <= x < 10410; 	 y_346 =  416.0000 + -0.0333x		interpolation 
10410 <= x < 10440; 	 y_347 =  -6871.0000 + 0.6667x		interpolation 
10440 <= x < 10470; 	 y_348 =  7049.0000 + -0.6667x		interpolation 
